gene,value
ADVE02_v2_10001,7.521284247
ADVE02_v2_10002,59.86727903
ADVE02_v2_10003,33.68726705
ADVE02_v2_10004,103.3128635
ADVE02_v2_10005,59.4202859
ADVE02_v2_10006,226.860926
ADVE02_v2_10007,1098.271023
ADVE02_v2_10008,1010.118094
ADVE02_v2_10009,103.0651218
ADVE02_v2_10010,18.09184842
ADVE02_v2_10011,148.3185986
ADVE02_v2_10012,163.8391516
ADVE02_v2_10013,175.6425646
ADVE02_v2_10014,343.6517953
ADVE02_v2_10015,48.27276874
ADVE02_v2_10016,4.187686647
ADVE02_v2_10017,5.425377157
ADVE02_v2_10018,18.46268484
ADVE02_v2_10019,75.4557091
ADVE02_v2_10020,135.6793067
ADVE02_v2_10021,44.26458215
ADVE02_v2_10022,105.052126
ADVE02_v2_10023,20.96103576
ADVE02_v2_10024,29.58297153
ADVE02_v2_10025,24.32746209
ADVE02_v2_10026,58.50746785
ADVE02_v2_10027,238.7969294
ADVE02_v2_10028,95.40025296
ADVE02_v2_10029,158.5721651
ADVE02_v2_10030,233.2190765
ADVE02_v2_10031,360.7171539
ADVE02_v2_10032,187.8763501
ADVE02_v2_10033,422.3652337
ADVE02_v2_10034,202.6554486
ADVE02_v2_10035,141.9701908
ADVE02_v2_10036,111.1152636
ADVE02_v2_10037,7.418746604
ADVE02_v2_10038,5.669925763
ADVE02_v2_10039,11.23977279
ADVE02_v2_10040,17.09581887
ADVE02_v2_10041,25.94275837
ADVE02_v2_10042,74.45076669
ADVE02_v2_10043,71.03226599
ADVE02_v2_10044,48.89997233
ADVE02_v2_10045,46.72687902
ADVE02_v2_10046,131.2961606
ADVE02_v2_10047,7.229136917
ADVE02_v2_10048,9.525346455
ADVE02_v2_10049,10.4681754
ADVE02_v2_10050,12.99763922
ADVE02_v2_10051,42.61866754
ADVE02_v2_10052,14.24265853
ADVE02_v2_10053,14.2717398
ADVE02_v2_10054,237.185467
ADVE02_v2_10055,424.8434833
ADVE02_v2_10056,173.0636705
ADVE02_v2_10057,72.56009377
ADVE02_v2_10058,652.3894382
ADVE02_v2_10059,81.27077853
ADVE02_v2_10060,25.96682038
ADVE02_v2_10061,88.15161343
ADVE02_v2_10062,38.8246445
ADVE02_v2_10063,38.69578915
ADVE02_v2_10064,123.0064463
ADVE02_v2_10065,49.1139834
ADVE02_v2_10066,35.67561381
ADVE02_v2_10067,18.42038914
ADVE02_v2_10068,3.699901488
ADVE02_v2_10069,0.107623294
ADVE02_v2_10070,17.5098979
ADVE02_v2_10071,29.15900359
ADVE02_v2_10072,10.28431251
ADVE02_v2_10073,89.37716435
ADVE02_v2_10074,53.29328311
ADVE02_v2_10075,48.11000035
ADVE02_v2_10076,18.26729566
ADVE02_v2_10077,52.31744067
ADVE02_v2_10078,99.12017371
ADVE02_v2_10079,137.0834161
ADVE02_v2_10080,73.71331066
ADVE02_v2_10081,49.79891944
ADVE02_v2_10082,64.03981596
ADVE02_v2_10083,109.8738396
ADVE02_v2_10084,31.63409022
ADVE02_v2_10085,6.632532288
ADVE02_v2_10086,12.83991855
ADVE02_v2_10087,4.958320572
ADVE02_v2_10088,8.739039183
ADVE02_v2_10089,15.2778986
ADVE02_v2_10090,101.8741667
ADVE02_v2_10091,51.47728044
ADVE02_v2_10092,80.09322226
ADVE02_v2_10093,88.03072408
ADVE02_v2_10094,96.39441263
ADVE02_v2_10095,5.704474571
ADVE02_v2_10096,1.659790558
ADVE02_v2_10097,2.256236767
ADVE02_v2_10098,5.706182411
ADVE02_v2_10099,14.41376462
ADVE02_v2_10100,22.96881795
ADVE02_v2_10101,41.08537456
ADVE02_v2_10102,56.98505689
ADVE02_v2_10103,69.83199617
ADVE02_v2_10104,46.26385054
ADVE02_v2_10105,43.8857892
ADVE02_v2_10106,128.2935224
ADVE02_v2_10107,82.58616688
ADVE02_v2_10108,150.3639114
ADVE02_v2_10109,98.21512085
ADVE02_v2_10110,211.9913304
ADVE02_v2_10111,124.0293797
ADVE02_v2_10112,153.2555622
ADVE02_v2_10113,28.01156519
ADVE02_v2_10114,9.696760237
ADVE02_v2_10115,4.872344703
ADVE02_v2_10116,3.877462065
ADVE02_v2_10117,14.26612682
ADVE02_v2_10118,28.98805576
ADVE02_v2_10119,38.43140428
ADVE02_v2_10120,24.01839252
ADVE02_v2_10121,50.50212121
ADVE02_v2_10122,75.42478573
ADVE02_v2_10123,59.66533254
ADVE02_v2_10124,41.31162379
ADVE02_v2_10125,28.2428861
ADVE02_v2_10126,5.384049597
ADVE02_v2_10127,1.915470827
ADVE02_v2_10128,1.886201927
ADVE02_v2_10129,1.403195008
ADVE02_v2_10130,2.607999322
ADVE02_v2_10131,3.250234614
ADVE02_v2_10132,5.585875091
ADVE02_v2_10133,0.790052016
ADVE02_v2_10134,0.840983527
ADVE02_v2_10135,2.417207427
ADVE02_v2_10136,0.959305342
ADVE02_v2_10137,1.11274475
ADVE02_v2_10138,1.105610855
ADVE02_v2_10139,42.71231624
ADVE02_v2_10140,51.80178543
ADVE02_v2_10141,91.80162005
ADVE02_v2_10142,154.4855701
ADVE02_v2_10143,8.399244378
ADVE02_v2_10144,9.778464039
ADVE02_v2_10145,3.742017033
ADVE02_v2_10146,4.220038328
ADVE02_v2_10147,9.069851546
ADVE02_v2_10148,123.8607849
ADVE02_v2_10149,36.44133516
ADVE02_v2_10150,20.00805247
ADVE02_v2_10151,156.5621088
ADVE02_v2_10152,75.73504775
ADVE02_v2_10153,42.76545338
ADVE02_v2_10154,34.84504629
ADVE02_v2_10155,17.83833956
ADVE02_v2_10156,7.189294242
ADVE02_v2_10157,6.09185419
ADVE02_v2_10158,64.36721424
ADVE02_v2_10159,35.68160846
ADVE02_v2_10160,7.804612829
ADVE02_v2_10161,16.41751018
ADVE02_v2_10162,13.00379912
ADVE02_v2_10163,12.88244038
