gene,value
ADVE02_v2_10001,10.53892394
ADVE02_v2_10002,74.11720607
ADVE02_v2_10003,47.0255316
ADVE02_v2_10004,265.232318
ADVE02_v2_10005,155.4561327
ADVE02_v2_10006,151.0956825
ADVE02_v2_10007,188.2527204
ADVE02_v2_10008,407.4932303
ADVE02_v2_10009,66.3896809
ADVE02_v2_10010,29.81462881
ADVE02_v2_10011,229.8921454
ADVE02_v2_10012,258.6854038
ADVE02_v2_10013,278.1460326
ADVE02_v2_10014,484.1689276
ADVE02_v2_10015,58.81160469
ADVE02_v2_10016,5.315301928
ADVE02_v2_10017,12.47378042
ADVE02_v2_10018,50.08179356
ADVE02_v2_10019,117.8009678
ADVE02_v2_10020,196.6961189
ADVE02_v2_10021,79.58818168
ADVE02_v2_10022,108.7755055
ADVE02_v2_10023,58.83639136
ADVE02_v2_10024,125.2797846
ADVE02_v2_10025,109.3965515
ADVE02_v2_10026,171.8165295
ADVE02_v2_10027,260.5801698
ADVE02_v2_10028,111.6305739
ADVE02_v2_10029,181.6298106
ADVE02_v2_10030,34.57028348
ADVE02_v2_10031,84.56694651
ADVE02_v2_10032,113.8997975
ADVE02_v2_10033,183.6786548
ADVE02_v2_10034,106.5432603
ADVE02_v2_10035,37.05666457
ADVE02_v2_10036,89.07231301
ADVE02_v2_10037,8.223835209
ADVE02_v2_10038,6.853466242
ADVE02_v2_10039,9.758847537
ADVE02_v2_10040,18.59295912
ADVE02_v2_10041,29.94869042
ADVE02_v2_10042,95.97748117
ADVE02_v2_10043,80.62377473
ADVE02_v2_10044,45.8445205
ADVE02_v2_10045,43.90544042
ADVE02_v2_10046,129.1442555
ADVE02_v2_10047,24.92077667
ADVE02_v2_10048,15.12151058
ADVE02_v2_10049,10.94100775
ADVE02_v2_10050,33.57264623
ADVE02_v2_10051,52.11253809
ADVE02_v2_10052,10.48275295
ADVE02_v2_10053,28.25103783
ADVE02_v2_10054,254.1872763
ADVE02_v2_10055,519.8959604
ADVE02_v2_10056,270.4550122
ADVE02_v2_10057,121.6695789
ADVE02_v2_10058,314.9574149
ADVE02_v2_10059,32.92454689
ADVE02_v2_10060,32.79941343
ADVE02_v2_10061,56.08825602
ADVE02_v2_10062,34.79266874
ADVE02_v2_10063,53.48488552
ADVE02_v2_10064,133.577774
ADVE02_v2_10065,74.3539529
ADVE02_v2_10066,50.27677792
ADVE02_v2_10067,23.69776516
ADVE02_v2_10068,4.46412336
ADVE02_v2_10069,0.396366768
ADVE02_v2_10070,22.03906459
ADVE02_v2_10071,90.04154549
ADVE02_v2_10072,10.5621984
ADVE02_v2_10073,97.0295537
ADVE02_v2_10074,67.21718164
ADVE02_v2_10075,52.81670351
ADVE02_v2_10076,18.03097578
ADVE02_v2_10077,139.5544906
ADVE02_v2_10078,197.0580186
ADVE02_v2_10079,360.6910331
ADVE02_v2_10080,118.7473987
ADVE02_v2_10081,58.59380158
ADVE02_v2_10082,94.67618535
ADVE02_v2_10083,153.3416582
ADVE02_v2_10084,45.22565242
ADVE02_v2_10085,16.18777574
ADVE02_v2_10086,19.23677228
ADVE02_v2_10087,9.376086303
ADVE02_v2_10088,15.98749326
ADVE02_v2_10089,19.84629532
ADVE02_v2_10090,225.6913637
ADVE02_v2_10091,105.4896254
ADVE02_v2_10092,125.998111
ADVE02_v2_10093,120.8286784
ADVE02_v2_10094,81.1789657
ADVE02_v2_10095,6.338638581
ADVE02_v2_10096,4.141573571
ADVE02_v2_10097,5.16752027
ADVE02_v2_10098,17.24581863
ADVE02_v2_10099,32.84023389
ADVE02_v2_10100,25.00205247
ADVE02_v2_10101,34.98314471
ADVE02_v2_10102,97.80319941
ADVE02_v2_10103,115.2364616
ADVE02_v2_10104,68.26767788
ADVE02_v2_10105,58.31783475
ADVE02_v2_10106,197.319641
ADVE02_v2_10107,168.1547745
ADVE02_v2_10108,346.5872594
ADVE02_v2_10109,136.5559187
ADVE02_v2_10110,368.6739208
ADVE02_v2_10111,188.2866661
ADVE02_v2_10112,129.417595
ADVE02_v2_10113,23.50521563
ADVE02_v2_10114,9.769122029
ADVE02_v2_10115,4.867829151
ADVE02_v2_10116,3.633331838
ADVE02_v2_10117,8.979866435
ADVE02_v2_10118,14.8890709
ADVE02_v2_10119,17.70342541
ADVE02_v2_10120,27.90180481
ADVE02_v2_10121,63.71962455
ADVE02_v2_10122,89.85710738
ADVE02_v2_10123,74.62213123
ADVE02_v2_10124,31.34898713
ADVE02_v2_10125,22.53748399
ADVE02_v2_10126,8.424503288
ADVE02_v2_10127,5.471986287
ADVE02_v2_10128,3.063341967
ADVE02_v2_10129,1.737737683
ADVE02_v2_10130,3.656656287
ADVE02_v2_10131,3.052177044
ADVE02_v2_10132,4.547031195
ADVE02_v2_10133,0.926895334
ADVE02_v2_10134,1.748597771
ADVE02_v2_10135,2.287563571
ADVE02_v2_10136,1.291848499
ADVE02_v2_10137,1.241307269
ADVE02_v2_10138,2.009990571
ADVE02_v2_10139,50.64685173
ADVE02_v2_10140,62.68408626
ADVE02_v2_10141,124.4786692
ADVE02_v2_10142,254.7103345
ADVE02_v2_10143,10.08120865
ADVE02_v2_10144,26.22472665
ADVE02_v2_10145,11.12235086
ADVE02_v2_10146,9.022650199
ADVE02_v2_10147,27.20785878
ADVE02_v2_10148,100.5874804
ADVE02_v2_10149,11.30724126
ADVE02_v2_10150,10.0235554
ADVE02_v2_10151,12.48326058
ADVE02_v2_10152,39.65337884
ADVE02_v2_10153,31.90601434
ADVE02_v2_10154,26.11758065
ADVE02_v2_10155,18.85344497
ADVE02_v2_10156,7.706307499
ADVE02_v2_10157,5.392055437
ADVE02_v2_10158,31.38652401
ADVE02_v2_10159,18.32967842
ADVE02_v2_10160,4.272674695
ADVE02_v2_10161,9.532751491
ADVE02_v2_10162,8.229380173
ADVE02_v2_10163,6.722258127
ADVE02_v2_10164,10.20017153
ADVE02_v2_10165,12.64054009
ADVE02_v2_10166,5.380499575
ADVE02_v2_10167,9.997307534
ADVE02_v2_10168,7.929320782
ADVE02_v2_10169,4.47398497
ADVE02_v2_10170,11.46510193
ADVE02_v2_10171,30.79434512
ADVE02_v2_10172,21.02926897
ADVE02_v2_10173,23.2944711
ADVE02_v2_10174,13.69365601
ADVE02_v2_10175,9.104475961
ADVE02_v2_10176,36.42095963
ADVE02_v2_10177,29.32272891
ADVE02_v2_10178,238.3142808
ADVE02_v2_10179,67.96933546
ADVE02_v2_10180,195.0277796
ADVE02_v2_10181,51.95739279
ADVE02_v2_10182,12361.72203
ADVE02_v2_10183,75.17784249
ADVE02_v2_10184,134.9721595
ADVE02_v2_10185,23.13879532
ADVE02_v2_10186,70.24401559
ADVE02_v2_10187,170.8073217
ADVE02_v2_10188,184.0036272
ADVE02_v2_10189,79.57352835
ADVE02_v2_10190,65.56030056
ADVE02_v2_10191,212.3036206
