gene,value
ADVE02_v2_10001,7.657925891
ADVE02_v2_10002,53.8730078
ADVE02_v2_10003,27.04557501
ADVE02_v2_10004,102.9342772
ADVE02_v2_10005,62.73879865
ADVE02_v2_10006,274.096643
ADVE02_v2_10007,1539.22703
ADVE02_v2_10008,1280.945376
ADVE02_v2_10009,83.76096478
ADVE02_v2_10010,14.53522483
ADVE02_v2_10011,127.8477901
ADVE02_v2_10012,133.8840236
ADVE02_v2_10013,150.1829675
ADVE02_v2_10014,319.3128192
ADVE02_v2_10015,48.68825878
ADVE02_v2_10016,4.631701205
ADVE02_v2_10017,4.289245468
ADVE02_v2_10018,14.28272344
ADVE02_v2_10019,62.23793496
ADVE02_v2_10020,113.050186
ADVE02_v2_10021,36.98802765
ADVE02_v2_10022,90.16368112
ADVE02_v2_10023,17.65478422
ADVE02_v2_10024,21.5935184
ADVE02_v2_10025,20.99675884
ADVE02_v2_10026,57.45417054
ADVE02_v2_10027,195.9462062
ADVE02_v2_10028,83.31219446
ADVE02_v2_10029,138.2540074
ADVE02_v2_10030,170.6310727
ADVE02_v2_10031,341.9432222
ADVE02_v2_10032,168.7253696
ADVE02_v2_10033,392.7006348
ADVE02_v2_10034,214.5201024
ADVE02_v2_10035,154.0083549
ADVE02_v2_10036,103.4850746
ADVE02_v2_10037,8.193373865
ADVE02_v2_10038,5.026910284
ADVE02_v2_10039,9.116830776
ADVE02_v2_10040,15.12470194
ADVE02_v2_10041,21.74982103
ADVE02_v2_10042,63.44892898
ADVE02_v2_10043,77.22010491
ADVE02_v2_10044,45.55508723
ADVE02_v2_10045,44.69394365
ADVE02_v2_10046,116.176906
ADVE02_v2_10047,5.65073777
ADVE02_v2_10048,8.741238864
ADVE02_v2_10049,8.573177221
ADVE02_v2_10050,12.39606986
ADVE02_v2_10051,36.03353056
ADVE02_v2_10052,10.25195392
ADVE02_v2_10053,13.16741255
ADVE02_v2_10054,256.8361736
ADVE02_v2_10055,442.0559689
ADVE02_v2_10056,158.4503514
ADVE02_v2_10057,58.81921699
ADVE02_v2_10058,620.1318879
ADVE02_v2_10059,77.22004874
ADVE02_v2_10060,24.84765304
ADVE02_v2_10061,81.57741636
ADVE02_v2_10062,41.01523024
ADVE02_v2_10063,35.00768893
ADVE02_v2_10064,106.8297494
ADVE02_v2_10065,37.08323278
ADVE02_v2_10066,29.55101011
ADVE02_v2_10067,14.20962285
ADVE02_v2_10068,3.235305291
ADVE02_v2_10069,0.321511945
ADVE02_v2_10070,13.80116081
ADVE02_v2_10071,18.92159356
ADVE02_v2_10072,8.321494412
ADVE02_v2_10073,75.49026299
ADVE02_v2_10074,46.12728506
ADVE02_v2_10075,45.70187667
ADVE02_v2_10076,15.8868096
ADVE02_v2_10077,56.52777236
ADVE02_v2_10078,81.2733665
ADVE02_v2_10079,115.7710062
ADVE02_v2_10080,73.11893175
ADVE02_v2_10081,41.51304574
ADVE02_v2_10082,53.26370994
ADVE02_v2_10083,91.96211648
ADVE02_v2_10084,28.41418624
ADVE02_v2_10085,4.582601495
ADVE02_v2_10086,19.2701602
ADVE02_v2_10087,6.614875618
ADVE02_v2_10088,9.638779475
ADVE02_v2_10089,13.10472758
ADVE02_v2_10090,97.40339915
ADVE02_v2_10091,37.29715738
ADVE02_v2_10092,66.96355431
ADVE02_v2_10093,73.8089138
ADVE02_v2_10094,81.2591481
ADVE02_v2_10095,4.844651665
ADVE02_v2_10096,1.596646793
ADVE02_v2_10097,1.904997309
ADVE02_v2_10098,4.629883865
ADVE02_v2_10099,14.90860672
ADVE02_v2_10100,22.31513663
ADVE02_v2_10101,35.05995408
ADVE02_v2_10102,59.74527287
ADVE02_v2_10103,57.6337799
ADVE02_v2_10104,34.22207448
ADVE02_v2_10105,39.17003372
ADVE02_v2_10106,106.7851236
ADVE02_v2_10107,79.35163891
ADVE02_v2_10108,121.5981927
ADVE02_v2_10109,95.43270662
ADVE02_v2_10110,228.0305764
ADVE02_v2_10111,125.6632026
ADVE02_v2_10112,103.6857477
ADVE02_v2_10113,21.85103278
ADVE02_v2_10114,11.03546055
ADVE02_v2_10115,6.506592154
ADVE02_v2_10116,2.776021103
ADVE02_v2_10117,14.20700271
ADVE02_v2_10118,25.3472665
ADVE02_v2_10119,33.37196827
ADVE02_v2_10120,21.59425643
ADVE02_v2_10121,50.90487881
ADVE02_v2_10122,74.53482396
ADVE02_v2_10123,56.57997889
ADVE02_v2_10124,41.73546872
ADVE02_v2_10125,33.30138344
ADVE02_v2_10126,4.512042656
ADVE02_v2_10127,2.215515958
ADVE02_v2_10128,1.163348011
ADVE02_v2_10129,1.182223707
ADVE02_v2_10130,1.576705275
ADVE02_v2_10131,2.942967941
ADVE02_v2_10132,5.336563498
ADVE02_v2_10133,2.303969384
