gene,value
ADVE02_v2_10001,19.67961501
ADVE02_v2_10002,141.2533779
ADVE02_v2_10003,86.68390676
ADVE02_v2_10004,526.2753242
ADVE02_v2_10005,335.9040257
ADVE02_v2_10006,235.8512968
ADVE02_v2_10007,219.4657195
ADVE02_v2_10008,481.7802376
ADVE02_v2_10009,84.04137687
ADVE02_v2_10010,24.80184753
ADVE02_v2_10011,166.1157437
ADVE02_v2_10012,162.9958823
ADVE02_v2_10013,216.2619191
ADVE02_v2_10014,374.0251583
ADVE02_v2_10015,27.99165255
ADVE02_v2_10016,3.488214056
ADVE02_v2_10017,11.24978586
ADVE02_v2_10018,61.24780441
ADVE02_v2_10019,146.6513989
ADVE02_v2_10020,219.7248698
ADVE02_v2_10021,86.94406801
ADVE02_v2_10022,99.85632657
ADVE02_v2_10023,134.8031422
ADVE02_v2_10024,271.6472983
ADVE02_v2_10025,219.7613224
ADVE02_v2_10026,377.4364072
ADVE02_v2_10027,254.6874183
ADVE02_v2_10028,143.0252744
ADVE02_v2_10029,293.7050127
ADVE02_v2_10030,68.67805561
ADVE02_v2_10031,93.24127384
ADVE02_v2_10032,133.8465544
ADVE02_v2_10033,222.0776501
ADVE02_v2_10034,147.170768
ADVE02_v2_10035,59.45999002
ADVE02_v2_10036,166.1909552
ADVE02_v2_10037,8.610449561
ADVE02_v2_10038,8.996778873
ADVE02_v2_10039,18.98087713
ADVE02_v2_10040,34.55630312
ADVE02_v2_10041,54.8488426
ADVE02_v2_10042,177.332466
ADVE02_v2_10043,185.6391653
ADVE02_v2_10044,80.99915538
ADVE02_v2_10045,73.47136817
ADVE02_v2_10046,227.2205188
ADVE02_v2_10047,31.24070576
ADVE02_v2_10048,15.89245429
ADVE02_v2_10049,17.87759216
ADVE02_v2_10050,66.87375506
ADVE02_v2_10051,86.47240748
ADVE02_v2_10052,21.63074149
ADVE02_v2_10053,54.45864847
ADVE02_v2_10054,237.0951878
ADVE02_v2_10055,471.5338925
ADVE02_v2_10056,404.4802596
ADVE02_v2_10057,191.0286565
ADVE02_v2_10058,342.6804467
ADVE02_v2_10059,25.37270606
ADVE02_v2_10060,50.95169745
ADVE02_v2_10061,53.28514571
ADVE02_v2_10062,48.63759071
ADVE02_v2_10063,91.80283491
ADVE02_v2_10064,239.2662543
ADVE02_v2_10065,156.6561902
ADVE02_v2_10066,84.06570825
ADVE02_v2_10067,34.75231745
ADVE02_v2_10068,6.77373344
ADVE02_v2_10069,0.662544621
ADVE02_v2_10070,18.55403292
ADVE02_v2_10071,89.30239872
ADVE02_v2_10072,8.493584914
ADVE02_v2_10073,81.52808742
ADVE02_v2_10074,67.28419447
ADVE02_v2_10075,49.03228115
ADVE02_v2_10076,24.62053554
ADVE02_v2_10077,262.0482935
ADVE02_v2_10078,314.594588
ADVE02_v2_10079,537.2074696
ADVE02_v2_10080,200.7546831
ADVE02_v2_10081,76.13710515
ADVE02_v2_10082,117.2183495
ADVE02_v2_10083,180.5089448
ADVE02_v2_10084,82.00688074
ADVE02_v2_10085,28.43640833
ADVE02_v2_10086,49.03544374
ADVE02_v2_10087,19.95871882
ADVE02_v2_10088,31.86976782
ADVE02_v2_10089,30.89944231
ADVE02_v2_10090,330.0173514
ADVE02_v2_10091,184.0959862
ADVE02_v2_10092,254.68105
ADVE02_v2_10093,177.3638132
ADVE02_v2_10094,84.19555405
ADVE02_v2_10095,10.03591539
ADVE02_v2_10096,8.278286979
ADVE02_v2_10097,9.6064502
ADVE02_v2_10098,32.0016473
ADVE02_v2_10099,67.93525671
ADVE02_v2_10100,43.01162947
ADVE02_v2_10101,48.73350203
ADVE02_v2_10102,162.4345898
ADVE02_v2_10103,182.9268389
ADVE02_v2_10104,131.7341538
ADVE02_v2_10105,40.43093991
ADVE02_v2_10106,104.7480395
ADVE02_v2_10107,270.174104
ADVE02_v2_10108,701.4427046
ADVE02_v2_10109,213.339796
ADVE02_v2_10110,561.3099627
ADVE02_v2_10111,270.7859316
ADVE02_v2_10112,169.4593771
ADVE02_v2_10113,29.70428258
ADVE02_v2_10114,6.064039569
ADVE02_v2_10115,3.436253098
ADVE02_v2_10116,5.061188778
ADVE02_v2_10117,9.46363831
ADVE02_v2_10118,17.65096154
ADVE02_v2_10119,19.84319257
ADVE02_v2_10120,35.90907488
ADVE02_v2_10121,57.35777153
ADVE02_v2_10122,77.98740094
ADVE02_v2_10123,81.66806715
ADVE02_v2_10124,36.32115992
ADVE02_v2_10125,22.88141632
ADVE02_v2_10126,9.679521208
ADVE02_v2_10127,7.252867706
ADVE02_v2_10128,4.480803672
ADVE02_v2_10129,2.535788166
ADVE02_v2_10130,7.550205253
ADVE02_v2_10131,4.531813343
ADVE02_v2_10132,5.156867195
ADVE02_v2_10133,1.847593607
ADVE02_v2_10134,2.504542376
ADVE02_v2_10135,2.853336586
ADVE02_v2_10136,1.907393827
ADVE02_v2_10137,2.503411025
ADVE02_v2_10138,2.06440321
ADVE02_v2_10139,74.30611147
ADVE02_v2_10140,44.721995
ADVE02_v2_10141,109.0543532
ADVE02_v2_10142,215.1577727
ADVE02_v2_10143,15.94352344
